	sideefects
40	, autoimmune haemolytic anaemia,autoimmune hemolytic anemia,immunohemolytic anemia,anemia autoimmune hemolytic,hemolytic autoimmune anemia,autoimmune hemolytic anemias,anemia hemolytic autoimmune,autoimmune haemolytic anaemias,anaemia haemolytic autoimmune
41	, macrocytic anaemia,macrocytic anemia,macrocytic anemias,anemia disorders macrocytic,anemia macrocytic
42	, megaloblastic anaemia,anemia megaloblastic,megaloblastic anemia,megaloblastic,megaloblastic anemias
43	, anaesthesia spinal,anesthesia spinal,spinal anaesthesia,block spinal,spinal block,subarachnoid block,blocks spinal,spinal anesthetic,blocks subarachnoid,anesthetics spinal,spinal anesthesia
44	, disorder aneurysm,aneurysm,aneurysms,aneurysmal dilatation
45	, aneurysm dissecting,arterial dissection,dissecting aneurysm,dissection arterial,dissecting aneurysms,arterial dissections,artery dissecting aneurysm
46	, anger,angered,angers,angry
47	, impending infarction,preinfarction angina,pre-infarction syndrome,angina unstable,intermediate coronary syndrome,angina at rest,rest angina,unstable angina,crescendo angina,unstable angina pectoris
48	, absence of sweating,anhidrosis,anhydrosis,absent sweating
49	, animal bite,animal bites,animals bites
50	, anisocorias,anisocoria,unequal pupils,unequal pupil,pupils unequal
51	, anophthalmia,anophthalmos
52	, lack of appetite,loss appetite,anorexic,anorexics,appetite lack,loss of appetite,no appetite,lost appetite,appetite lost,of appetite loss,lack appetite,appetites lack,appetite loss,anorexia
53	, lost sense of smell,anosmia,smell sense,sense smell,loss of sense of smell,anosmias,no sense of smell,loss sense smell
54	, ovulation failure,anovulation
55	, absence oxygen,anoxia
56	, pass urine,anurias,anuria,passed urine
57	, anal disorder,anus disorders,disorder anus,anus disease,disease anus,anal disorders,anus diseases
58	, anus imperforated,imperforate anu,anal atresia,atresia ani,imperforate anus,anus atresia,anus imperforate
59	, anxiousness,anxiety,anxious,anxieties
60	, disorder anxiety,anxiety disorder nos,anxiety disorder,anxiety disorders,anxieties disorder,disorders anxiety
61	, aneurysm of aorta,aorta aneurysm,aneurysms aorta,aneurysms aortic,aneurysm aortic,aortic aneurysm,aortic aneurysms,of aneurysm aorta,aneurysm aorta of,aneurysm aorta
62	, aorta coarctation of,coarctation of the aorta,coarctation aorta,coarctation aortic,aorta coarctation,coarctation of aorta,coarctation,aortic coarctation
63	, diseases of the aorta,aortic disease,aortic diseases,aorta diseases,aorta disease,aortic disorders
64	, aphonia,absence of voice,loss of voice,voice loss,loss voice
65	, apnoea,breathing stopping,arrest breathing,pulmonary arrest,apneic,apnea,stopped breathing,apnoeas,apneas,apnoeic,not breathing,breathing stop
66	, dyspraxia,apraxia,dyspraxias,dyspraxia syndrome,apraxias
67	, cornea arcus,arcus cornea,arcus senilis,corneal arcus,gerontoxon,arcus corneal
68	, cardiac arrhythmia,heart arrhythmia,dysrhythmias,arrythmias,heart arrhythmias,cardiac arrhythmias,arrhythmias,arrhythmia heart,arrythmia,arrhythmias cardiac,arrhythmia cardiac,abnormal cardiac rhythm,cardiac dysrhythmia,heart rhythm disorder,cardiac dysrhythmias,dysrhythmia,Abnormal heart rhythms,arrhythmia,irregular heartbeat
69	, arterial insufficiency,arterial insufficiencies
70	, arterial obstructive disease,arterial occlusive disease,obstructive arterial disease,arterial occlusive diseases,arterial disease occlusive,occlusive arterial disease
71	, arteriovenous fistulas,fistulas arteriovenous,a v fistulas,a v fistula,fistula arteriovenous,arterio-venous fistula,arteriovenous shunt,arteriovenous fistula,a-v fistula,arteriovenous aneurysm,arteriovenous av fistula
72	, aching joint,painful joint,joints painful,pain joints,articular pain,joint pain,joints pains,arthralgias,pains joint,aching joints,joint pains,joint painful,pain joint,aches joints,ache joints,arthralgia,painful joints,aches joint,joints pain,ach joints,pain in joint,joint ache
73	, arthritis gout,arthropathy gout,gouty arthritis,arthritis gouty,gouty arthropathy,gout arthritis
74	, arthritis infectious,infectious arthritis,infective arthritis
75	, articulation speech disorders,articulation disorder,phonological impairments,articulation disorders,articulation impairment,misarticulation
76	, ascariasis,ascariosis,ascaridiasis
77	, fluid peritoneal cavity,ascite,cavity fluid peritoneal,ascites,hydroperitoneum
78	, suffocating,suffocate,asphyxia,asphyxias,asphyxation,suffocation,suffocations,asphyxiation
79	, attacked,mugs,assaults,mug,assault
80	, feeling weak,general weakness,loss strength,of strength loss,weak feeling,generalized weakness,weaknesses,loss of strength,lassitude,feel weak,asthenic,debility,feeling weakness,feels weak,weak,weakness,strength loss,asthenia
81	, eyes straining,fatigue eye,tired eyes,asthenopia,eye strains,eye tire,eyes strained,tired eye,eye tired,eye straining,visual fatigue,eyes fatigue,eye fatigue,eyestrain,eye strain
82	, asthmas,asthmatic,asthma disorders,bronchial asthma,asthma,asthma bronchial,asthmatics,asthma nos
83	, astrocytoma,astrocytomas,astrocytoma brain tumors,astrocytoma brain tumor,astrogliomas,astrocytoma brain cancer,astroglioma
84	, atrial flutter,flutter auricular
85	, av block,atrioventricular blocks,atrioventricular block,atrioventricular heart block,av heart block
86	, childhood autism,autistic disorders,autism infantile,autistic disorder,autistic,early infantile autism,autism child,autistics,autism,child autism,autism childhood,infantile autism
87	, automatisms,automatism
88	, aspermia,azospermia,azoospermia
89	, bacteraemia,bacteria in the blood,bacteremia,bacteremias,blood poisoning
90	, bacteria causing diseases,bacteria caused disease,bacterial disease,diseases bacterial,bacterial infections,diseases caused by bacteria,infection bacterial,bacterial infectious diseases,disease caused by bacteria,infections bacterial,other bacterial infection,bacterial infection,bacterial diseases disorders,bacterial diseases,bacteria caused diseases
91	, basilar artery syndrome,artery basilar syndrome,basilar artery insufficiency,basilar insufficiency
92	, disorder behavior,behavior disorders,behavioral disorders,behavior disordered,behavior disorder,behavioral disorder,behavioural disorders,disorder behaviour,behavioural disorder,behaviour disorder
93	, disorder psychiatric,disease mental,mental disease,disorder mental,disorders health mental,disorder psychological,mental health disorder,disorder health mental,diseases mental,mental disorders,disorder mental health,psychological disorder,illnesses psychiatric,mental disorder disorder,disorders mental,psychiatric disorder,illness mental,disorders psychological,disorders psychiatric,illness psychiatric,mental illness,psychiatric disorders,illnesses mental,mental disorder,psychiatric illness
94	, benign of skin tumors,benign skin tumors,benign skin tumor
95	, cholestasis extrahepatic,extrahepatic biliary obstruction,extrahepatic cholestasis
96	, congenital biliary atresia,atresia biliary,biliary atresia,primary biliary atresia
97	, biliary tract diseases,biliary tract disease,biliary disease tract,biliary tract disorders
98	, depressives manic,disorder depressive manic,bipolar disorder nos,disorder manic depressive,bipolar disorder mood,manic-depressive psychosis,bipolar disorder affective,manic depressive psychosis,bipolar disorders mood,disorder bipolar,manic depressive illness,affective psychosis bipolar,bipolar mood disorder,bipolar affective disorder,affective bipolar disorders,depressive disorders manic,depressions manic,manic depressions,bipolar illness,manic depressive disorder,affective bipolar disorder,depressive illness manic,bipolar disorder,manics depressive,manic depressive,manic-depressive illness,illness bipolar,bipolar disorders,disorders bipolar,manic depression,depressive manic,depression manic
99	, black water fever,blackwater fever
100	, stones bladder,vesicolithiasis,bladder stones,vesical calculi,bladder calculus,bladder stones urinary,cystolith,bladder calculi,vesical calculus,urinary bladder stone,bladder stone
101	, of cancer bladder,bladder cancer of,cancer of bladder,bladder cancer,cancer of the bladder,bladder cancer urinary,bladder ca,bladder cancers,ca bladder,cancer bladder,malignant neoplasm bladder,of bladder cancer,cancer urinary bladder,urinary bladder cancer,malignant neoplasm of bladder
102	, bladder disorder,disease bladder,bladder diseases,diseases of the bladder,bladder disorders,bladder disease
103	, bladder distension,bladder distended,bladder distention,distended bladder,distension bladder
104	, obstruction bladder,bladder-neck obstruction,bladder obstruction,urinary bladder neck obstruction,bladder neck obstruction
105	, bladder tumors,urinary bladder tumor,tumor bladder,bladder tumor,bladder neoplasm,bladder neoplasms,neoplasm of bladder,bladder neoplasm urinary
106	, neurogenic bladder,neuropathic bladder,bladder neurogenic
107	, blast phase,blast crisis
108	, blepharoconjunctivitis
109	, blepharospasms,eyelid spasms,spasm eyelid,eyelid spasm,blepharospasm
110	, bullous lesion,bulla,bullas,bullae,blister,bullous lesions
111	, bloods coagulation,blood clotting,blood coagulations,blood coagulation,clotting blood
112	, platelet blood disorder,thrombocyte disorders,thrombocytopathies,disorders platelets,blood platelet disorder,disorder platelet,platelet disorders,blood platelet disorders,platelet disorder,thrombocytopathy,blood disorder platelet
113	, bloodshot eye,blood eyes shot,bloodshot eyes,eye blood shot,blood shot eye,eye bloodshot,eyes bloodshot
114	, metabolic bone disorders,metabolic bone diseases,bone disorders metabolic,metabolic bone disorder,metabolic bone disease,bone diseases metabolics
115	, bone disorders marrow,bone marrow diseases,disease bone marrow,bone disease marrows,myelopathy,bone marrow disorder,bone disease marrow,bone diseases marrow,bone disorder marrow,bone marrow disease
116	, bone tumours,bone neoplasm,bone tumour,bones tumors,bone tumors,bone tumor,tumour bone,bone neoplasms,tumor bone
117	, cerebral abscess,brain abscess,abscess brain,abscess cerebral,brain abscesses
118	, commotio,concussion,concussion disorder,concussion brain injury,commotio cerebri,concussions,brain concussion,brain concussions,cerebral concussion
119	, brain disorders,brain disease,brain diseases,brain diseases disorders,disease brain,brain disorder,disorder brain,diseases brain,disorders brain,disease of brain
120	, metabolic brain diseases,metabolic disorders brain,encephalopathy metabolic,metabolic encephalopathy
121	, wet brain,brain oedema,intracranial edema,brain swellings,brain edema,brain swell,brain swelling,swelling brain,brain wet,edema brain
122	, tumors brain,brain neoplasm,of brain neoplasm,neoplasm of brain,brain tumors,brain tumor,brain tumours,neoplasm brain,brain neoplasms,tumour brain,brain tumour,tumor brain
123	, breast cancer,of the breast cancer,breast cancer of,malignant neoplasm of breast,breast ca,cancer breast,ca breast,breast cancers,of cancer breast,of breast cancer,cancer of the breast,breast malignant neoplasm,cancer of breast,breast malignant tumors,breasts cancer
124	, breast cyst,cyst of breast,cysts breast,breasts cysts,breast cysts,cyst breast
125	, breast disorder,breast disorders,mastopathy,diseases of breast,disease breast,disease of breast,of breast disease,breast diseases,breasts diseases,diseases of the breast,breasts disorders,breasts disease,breast disease
126	, swelling breast,breast swollen,breast swelling,breasts swollen,breast swell,swelling of breast,breasts swelling,swollen breast
127	, breech presentation,breech presentations
128	, bronchus disease,bronchial diseases,bronchial disease,bronchial disorders
129	, bronchospasms,bronchial spasm,bronchospasm,bronchial spasms
130	, bronchiolitis obliterative,bronchiolitis obliteran,obliterative bronchiolitis,bronchiolitis obliterans
131	, pneumonia bronchial,bronchial pneumonia,bronchopneumonia
132	, grind teeth,teeth grinding,grinding teeth,teeth grinding disorder,bruxism,grinding of teeth,grinding teeth disorders,tooth grinding,teeth grind,grinding tooth
133	, bulimia nervosa,bulimia
134	, branch bundle block,bundle branch block,block branch bundle,bundle block branch,bundle branch heart block,blocks branch bundle,blocked branch bundle,block bundle branch,block branch bundle heart,bundle-branch block
135	, burning mouth syndrome,stomatopyrosis
136	, burns injuries,burned,burning lesions,burn,burning,burn lesion,burns,burn injury,burns injury,burning injuries,burn injuries,burnings,burning disorders
137	, chemical burns,burns chemicals,burning chemicals,burns chemical,burn chemical,chemical burn
138	, cachexia,cachectic
139	, cancer,tumor malignant,neoplasm cancer,blastoma,cancers,malignant tumors,malignant neoplasm,malignant neoplasms,malignant tumours,blastomas,malignancies,malignant tumor,malignant tumour,cancer nos,cancer neoplasms,ca cancer
140	, cutaneous moniliasis,candida skin,skin candida,rash candida,candida rash,candida infections skin,candidiasis skin,candidiasis cutaneous,cutaneous candidiasis,skin thrush,candida skin infection
141	, thrush,oral moniliasis,thrush oral,candidiasis oral,candida oral,oral candida,candida mouth,oral candidosis,oral candidiasis,candidas oral,candida stomatitis,candidas mouth,mouth candidiasis,oral thrush,candidosis oral,candidiasis mouth
142	, carbuncle,nos carbuncle,carbuncles
143	, carcinoid tumors,tumor carcinoid,carcinoid tumours,carcinoids tumor,carcinoids,carcinoid,carcinoid tumor,carcinoid tumour
144	, epitheliomas,epithelioma,carcinoma,carcinomas
145	, carcinoma in situ,in situ carcinoma,in-situ carcinoma,intraepithelial carcinoma,carcinoma in-situ,carcinoma situ
146	, cancer colonic,malignant neoplasm of colon,of the colon cancer,cancer of colon,ca colon,cancer of the colon,colon ca,cancer colon,colon cancer,malignant colon neoplasm,colonic cancer,of colon cancer,colon cancers,cancer colons,of cancer colon
147	, cancer of endometrium,cancer endometrial,cancer of the endometrium,endometrial cancer,cancer endometrium,endometrium cancer,endometrial ca
148	, laryngeal cancer,ca larynx,cancer of larynx,larynx cancer,cancer of the larynx,of larynx cancer,cancer laryngeal,cancer larynx
149	, prostate cancer adenocarcinoma,adenocarcinoma prostatic,adenocarcinoma of the prostate,prostate adenocarcinoma,prostatic adenocarcinoma,adenocarcinoma prostate,adenocarcinoma of prostate
150	, cancer rectal,of cancer rectum,malignant neoplasm of rectum,cancer of the rectum,malignant neoplasm rectum,cancer rectum,cancers rectal,rectal cancers,cancer of rectum,rectum cancer,of rectum cancer,rectal cancer
151	, cancer of skin,malignant neoplasm skin nos,of skin cancer,cancer of the skin,cancers skin,skin cancer,cancer skin,of the skin cancer,malignant neoplasm of skin,malignant neoplasm skin,skin cancers
152	, ca thyroid,cancer gland thyroid,cancer thyroid,thyroid cancer gland,thyroid cancers,thyroid cancer,cancer thyroid gland,thyroid ca,cancer of the thyroid,of thyroid cancer,thyroid gland cancer,cancer of thyroid,cancer glands thyroid
153	, basal carcinoma cell,m basal cell carcinoma,cell carcinoma basal,basal cell carcinoma of skin,rodent ulcers,basal cell carcinomas,basalioma,basal cell carcinoma of the skin,rodent ulcer,basal cell epithelioma,carcinoma basal cell,skin cancer basal cell carcinoma,basal cell skin cancer,basal cancer cell skin,basal skin cell carcinoma,pigmented basal cell carcinoma,basal cell carcinoma skin cancer,basal cell carcinoma,basal carcinomas cell skin,cell carcinoma basal skin cancer
154	, alveolar carcinoma,bronchioloalveolar carcinoma,alveolar cell carcinoma,bronchiolo-alveolar carcinoma,bronchiolar carcinoma
155	, lung carcinoma non small cell,carcinoma cell lung non-small,carcinoma cell lung non small,non small cell lung carcinoma
156	, squamous cell carcinoma,carcinoma squamous cell,squamous carcinoma,squamous cell carcinomas,carcinomas cell squamous,carcinoma cell squamous,squamous cell epithelioma,squamous carcinomas,epidermoid carcinoma,squamous carcinoma cell,carcinomas cells squamous,carcinoma epidermoid,carcinoma squamous,carcinoma cells squamous
157	, cardiac low output,cardiac decrease output,low cardiac output,decreased cardiac output,cardiac decreased output
158	, tamponade cardiac,pericardial tamponade,cardiac tamponade
159	, congestive cardiomyopathy,cardiomyopathy congestive,dilated cardiomyopathy,cardiomyopathy dilated,primary dilated cardiomyopathy
160	, cardiovascular disease,disease cardiovascular,cardiovascular disorder,diseases cardiovascular system,cardiovascular system disease,CVD,circulatory disorders system,cv disease,system cardiovascular disease,cardiovascular diseases system,cardiovascular disorders,cardiovascular system diseases,diseases cardiovascular,cardiovascular diseases,cardiovascular disease systems
161	, artery bruit carotid,artery bruits carotid,carotid bruits,carotid bruit,bruit carotid,bruit carotid artery,carotid artery bruit,bruits carotid
162	, carotid artery narrowing,arteries carotid stenosis,carotid stenosis,arteries carotid narrowing,carotid artery stenosis,stenosis carotid artery,stenosis carotid,artery carotid stenosis,artery carotid stenosi,carotid stenoses
163	, catatonia,catatonic,catatonic state
164	, central nervous system disorder,cns disorders,cns diseases,central disease nervous systems,cns disease,central nervous system disorders,central disease nervous system,encephalomyeloneuropathy,disease central nervous system,central disorder nervous system,central disorders nervous system,central nervous system disease,central diseases nervous system,cns disorder,central nervous system diseases
165	, central nervous system infection,cns infections,cns infection,central infections nervous system,central infection nervous system
166	, cerebellar disorder,cerebellum disease,cerebellar diseases,cerebellar disorders,cerebellum diseases,cerebellar dysfunction,cerebellar disease
167	, intracranial aneurysms,intracranial aneurysm,cranial aneurysm,aneurysms intracranial
168	, cerebral emboli,cerebral embolism,cerebral embolus,cerebral artery embolism,arteries cerebral embolism,cerebral embolisms
169	, cerebral infarctions,cerebral infarction,cerebral infarcts,cerebral infarct,infarct cerebral,infarction cerebral
170	, disease cerebrovascular,cerebrovascular diseases,cerebral vascular disorders,cerebrovascular disorders,cerebrovascular disease,cerebrovascular disorder,cerebral vascular disorder
171	, cervix polyps,cervical polyp,cervix polyp,polyp cervical,cervical polyps,polyp cervix
172	, cervical disorders,cervix disease,cervix disorders,cervical diseases,cervical disorder,cervical disease
173	, dysplasia of cervix,cervix dysplasia,dysplasia cervical,cervical dysplasia,cervical precancer,dysplasia cervix
174	, cervix erosion,cervix erosion uterine,erosion cervical,cervical erosion,erosion cervix,erosion of cervix
175	, incompetent cervix,cervix incompetence,cervical incompetence,incompetence cervix,cervix incompetent
176	, tumor of cervix,cervix neoplasm,cervical neoplasm,cervix tumor,cervix tumors,cervix neoplasms
177	, chalazion,tarsal cyst,chalazions,cysts meibomian,meibomian cyst
178	, inflammation lips,lip inflammation,inflammation lip,chelitis,cheilitis
179	, pains chest,pain chest nos,chest pain nos,thorax pain,pain thorax,chest pains,pain chest,chest pain
180	, pleuritic pain,pleuritic chest pain,pleural pain,pleurodynia
181	, chlamydial infections,chlamydia infection,chlamydia bacteria infection,chlamydial infection,chlamydial disease,chlamydia infections,infection chlamydia
182	, sclerosing cholangiitis,sclerosing cholangitis,fibrosing cholangitis
183	, intrahepatic cholestasis,cholestasis intrahepatic
184	, chondrodystrophies,chondrodystrophy
185	, choreiform movements,choreiform movement,choreic movements,choreas,chorea
186	, chorionepithelioma,chorioepithelioma,choriocarcinoma
187	, retinochoroiditis,chorioretinitis
188	, chromosome disorders,chromosome abnormality,chromosomal disease,chromosomal disorders,abnormalities chromosomes,anomalies chromosome,anomaly chromosomal,diseases chromosomal,chromosomes disorder,chromosomal disorder,abnormality chromosomal,chromosomes disorders,chromosomal abnormality,chromosomal diseases,chromosomal anomalies,chromosome disorder,chromosome anomaly,abnormality chromosome,anomalies chromosomes,disorders chromosome
189	, chylothorax,chylous pleural effusion
190	, hare lip,cleft lip,harelip,hare lips,cheiloschisis,labium leporinum,lip cleft,cleft lips
191	, secondary cleft palate,cleft palate,cleft disorder palate,cleft palates,cleft disorders palate
192	, clostridia infection,clostridial infections
193	, talipes equinovarus,clubfoot congenital,clubfoot,congenital clubfoot,congenital equinovarus,congenital talipes equinovarus,equinovarus,congenital talipes,club foot congenital,congenital club foot,club foot,foot club,clubfoot disorders,clubbed foot
194	, tongue coating,coat tongue,tongue coated,tongue coat,tongue fur,coated tongue,coating tongue,furred tongue
195	, cognitive disorders,cognitive diseases,cognitive disorder nos,cognitive disorder,disease cognitive,cognition disorders
196	, intolerance cold,sensitive to cold,feel cold,sensitive cold,cold sensitive,cold sensitivity,cold feel,sensitivity cold,cold feelings,cold intolerance
197	, collagen disorders,collagen diseases,collagen disease,collagen disorder
198	, polyps colonic,polyp colon,of colon polyp,polyps colon,colonic polyp,colon polyp,polyp of colon,colonic polyps,colon polyps
199	, comas,coma,comatose
200	, common cold,colds,head cold,disease cold,colds head,acute coryza,acute nasopharyngitis,cold common,acute rhinitis,cold head,common colds,colds common,cold
201	, communicable diseases,diseases communicable,disease contagious,diseases transmissible,diseases transmissibles,contagious disease,communicable infectious disease,communicable disease,diseases infectious,disease infectious,contagious diseases,disease transmissible,infectious diseases,infectious disease
202	, compartment syndromes,compartmental syndromes,compartment syndrome,compartmental syndrome,compartments syndrome
203	, anankastic personality,compulsive personality disorder,compulsive disorder behavior,compulsive disorder personality,obsessive-compulsive personality,obsessive compulsive personality,compulsive personality disorders,anankastic personality disorder
204	, anogenital warts,condylomata acuminatum,genital wart,condyloma acuminatum,venereal wart,genitals warts,venereal warts,condyloma accuminata,verruca acuminata,wart anogenital,genital warts,acuminata condylomas,acuminata condylomata,condylomata acuminata,condyloma acuminata,anogenital wart
205	, mental confusion,bewilderment,confusional state,dazing,confusional states,confused,confusion,daze,dazed,confusion mental
206	, conjunctiva disease,conjunctiva diseases,disease conjunctiva,disease conjunctival,conjunctival diseases,conjunctival disorders
207	, conjunctival hemorrhages,conjunctival hemorrhage,haemorrhage conjunctiva,conjunctival haemorrhage,conjunctiva hemorrhage
208	, allergic conjunctivities,atopic conjunctivitis,allergic conjunctivitis
209	, disorders connective tissue,connective tissue disorder,connective disease tissue,connective tissue diseases,connective disorder tissue,connective disorders tissue,connective diseases tissue,connective tissue disease,connective tissues disease,connective tissue disorders,diseases connective tissue
210	, contracture,contractures
211	, contracture joint,contractures joint,contraction joint,of joint contracture,contracture of joint,joint contracture
212	, hysterical disorder,conversion disorders,conversions disorder,hysteria,conversion hysteria,reaction conversion,conversion disorder,conversion reaction,conversion neurosis
213	, convulsion fever,febrile convulsion,febrile convulsions,fever seizures,convulsions febrile seizures,febrile seizure,convulsion febrile,febrile seizures,fever seizure,fever convulsions,fevers seizures,seizure febrile,seizure fever,seizures fever,febrile fit,fever convulsion
214	, corneas scratched,abrasion corneal,cornea scratch,corneal abrasion,cornea scratched,abrasions corneal
215	, diseases of the cornea,corneal diseases,cornea disorder,diseases corneal,corneal disorders,cornea disorders,disease cornea,corneal disease,cornea disease,cornea diseases
216	, corneal opacity,corneal opacities,corneal haze,leukoma,leukomas
217	, corneal ulceration,corneal ulcer,corneal ulcers,ulcer cornea,ulcerative keratitis,cornea ulcer,cornea ulcers
218	, coronary thrombosis,coronary artery thrombosis,thrombosis coronary
219	, coronary vasospasms,coronary artery vasospasm,coronary vasospasm,vasospasm coronary
220	, cystic corpus luteum,corpus luteum cysts,corpus luteum cyst,corpus cyst luteum,lutein cyst
221	, cranial nerve diseases,cranial nerves palsy,cranial nerve disease,cranial nerve disorder,cranial nerve disorders,cranial neuropathies,cranial neuropathy,cranial disorders nerves,cranial nerve palsy,cranial disease nerve
222	, congenital hypothyroidism,hypothyroidism congenital,cretinism,infantile hypothyroidism,congenital myxedema
223	, sobbing,crying,cry,crys
224	, cryptosporidiosis,cryptosporidium infection,cryptosporidiasis
225	, cyanosed,cyanose,cyanosis,cyanosis skin
226	, cyclothymia,affective personality disorder,cyclothymic personality,cyclothymic disorder,cyclothymia disorder,affective personality,cyclothymic disorders
227	, acne vulgaris cystic,acne cystic,cystic acne
228	, bladder hernia,cystoceles,cystocele bladder,cystocoele,cystocele,vesical hernia,bladder cystocele,hernia bladder
229	, cysts,cyst nos,cyst
230	, cmv infection,cmv cytomegalovirus infection,cmv infections,inclusion disease,cytomegalovirus infection,cytomegaloviral disease,cytomegalic inclusion disease,cytomegaloviral infection,cytomegaloviral infections,cytomegalovirus infections,infection cmv
231	, dacrocystitis,dacryocystitis
232	, deafness degree,hear loss,deafness,loss hearing,hearing losses,hearing loss
233	, sudden hear loss,sudden hearing loss,hearing loss sudden
234	, sudden death,death findings sudden,death sudden
235	, lack libido,libido decreased,loss libido,lack of libido,low libido,reduced libido,decreased libido,loss of libido,libido loss
236	, bedsores,decubitus pressure sores,contact ulcer,pressures sores,ulcer contact,pressure sore,sores bed,decubitus skin ulcers,bed sores,decubitus ulcers,ulcers decubitus,bed sore,decubitus ulcer,sores pressure,pressure sores,pressure ulcer,ulcer decubitus,bedsore,contact ulcers,pressure ulcers
237	, disorder swallowing,deglutition disorder,difficulty in swallowing,dysphagia,difficulties swallowing,difficulty swallowing,disorders swallow,disorders swallowing,swallowing disorder,swallowing difficulty,swallowing difficult,difficulty swallow,swallow difficult,deglutition disorders,disorders dysphagia,difficult swallowing,difficult swallow,dysphagias
238	, deficient fluid volume,dehydrations,dehydration,exsiccosis,loss of body water
239	, delirious,delirium acute,delirium,deliria,acute delirium,disorder delirium,delirium disorder,acute brain syndrome
